Drug_Name,Category,Dosage_Form,Strength,Manufacturer,Indication,Classification
Levothyroxine,PPI,Injection,200mg,Novartis,Hypertension and heart failure,Prescription
Sertraline,Antidepressant/SSRI,Tablet,5mg,Novartis,Asthma and allergic rhinitis,Prescription
Fluoxetine,Opioid Analgesic,Suppository,75mg,Novartis,Moderate to severe pain management,Prescription
Neosporin,Antiplatelet,Lozenge,25mg,Sanofi,Motion sickness and nausea,Over-the-Counter
Salicylic Acid,Analgesic,Lozenge,400mg,Sanofi,Insomnia and sleep aid,Over-the-Counter
Oxycodone,Thyroid Hormone,Capsule,200mg,AstraZeneca,Asthma and allergic rhinitis,Prescription
Losartan,Antifungal,Suppository,10mg,AstraZeneca,Edema and hypertension,Prescription
Pregabalin,PPI,Sublingual Tablet,75mg,Boehringer Ingelheim,Hypothyroidism treatment,Prescription
Magnesium Hydroxide,Antiplatelet,Cream,325mg,Unilever,Gas and bloating relief,Over-the-Counter
Magnesium Hydroxide,Topical Antibiotic,Cream,25mg,Chattem,Nasal congestion relief,Over-the-Counter
Acetaminophen,Antacid/H2 Blocker,Cream,2%,Reckitt,Skin inflammation and itching,Over-the-Counter
Neosporin,Expectorant,Powder,400mg,Prestige Brands,Allergic rhinitis and hives,Over-the-Counter
Furosemide,Anxiolytic/Benzodiazepine,Topical Solution,50mg,Eli Lilly,GERD and peptic ulcer disease,Prescription
Lidocaine Cream,Acne Treatment,Chewable Tablet,200mg,Prestige Brands,Cough suppression,Over-the-Counter
Miconazole,Analgesic,Lozenge,250mg,Reckitt,Skin inflammation and itching,Over-the-Counter
Aspirin,Antiplatelet,Capsule,2%,Bayer,Gas and bloating relief,Over-the-Counter
Pseudoephedrine,Skin Protectant,Tablet,5%,GSK,Gas and bloating relief,Over-the-Counter
Metformin,Anxiolytic/Benzodiazepine,Extended Release Tablet,150mg,Merck,Inflammation and autoimmune disorders,Prescription
Amlodipine,Beta Blocker,Topical Solution,1mg,Roche,Hypertension and heart failure,Prescription
Ciprofloxacin,Corticosteroid,Nasal Spray,0.25mg,AstraZeneca,Hypertension and angina,Prescription
Ranitidine,Antiflatulent,Cream,325mg,3M Healthcare,Constipation relief,Over-the-Counter
Trimethoprim,ACE Inhibitor,Suppository,150mg,Boehringer Ingelheim,Anxiety and panic disorders,Prescription
Dexamethasone,ACE Inhibitor,Inhaler,1000mg,Bristol-Myers Squibb,Hypertension and angina,Prescription
Benzoyl Peroxide,Analgesic,Patch,150mg,GSK,Minor wound infection prevention,Over-the-Counter
Clindamycin,ACE Inhibitor,Inhaler,5mg,Johnson & Johnson,Hypothyroidism treatment,Prescription
Pantoprazole,Calcium Channel Blocker,Sublingual Tablet,1000mg,Amgen,Asthma and bronchospasm,Prescription
Dextromethorphan,Expectorant,Spray,5%,Reckitt,Chest congestion and mucus relief,Over-the-Counter
Pseudoephedrine,Antiplatelet,Lozenge,2%,Reckitt,Heartburn and indigestion,Over-the-Counter
Clotrimazole,Antidiarrheal,Patch,150mg,Pfizer,Minor cuts and skin protection,Over-the-Counter
Famotidine,Antiflatulent,Drops,20mg,Pfizer,Acne treatment,Over-the-Counter
Dexamethasone,Diuretic,Inhaler,2mg,Gilead Sciences,Hypothyroidism treatment,Prescription
Pregabalin,Antidepressant/SSRI,Suppository,250mg,Boehringer Ingelheim,GERD and peptic ulcer disease,Prescription
Bacitracin,Antidiarrheal,Lozenge,100mg,Unilever,Blood clot prevention,Over-the-Counter
Dexamethasone,ARB,IV Infusion,5mg,Amgen,Heart attack and stroke prevention,Prescription
Magnesium Hydroxide,Analgesic,Cream,25mg,Sanofi,Chest congestion and mucus relief,Over-the-Counter
Amlodipine,Antidiabetic,Capsule,400mcg,Amgen,Asthma and bronchospasm,Prescription
Bacitracin,Expectorant,Gel,5%,GSK,Acne treatment,Over-the-Counter
Clindamycin,Anxiolytic/Benzodiazepine,Extended Release Tablet,20mg,AstraZeneca,Anxiety and panic disorders,Prescription
Miconazole,Antiflatulent,Cream,150mg,GSK,Minor cuts and skin protection,Over-the-Counter
Pregabalin,Statin,Suppository,500mg,Abbott,GERD and peptic ulcer disease,Prescription
Warfarin,Antidiabetic,Extended Release Tablet,200mcg,Roche,Depression and anxiety disorders,Prescription
Alprazolam,Anxiolytic/Benzodiazepine,Liquid,500mg,Boehringer Ingelheim,High cholesterol management,Prescription
Doxycycline,Anxiolytic/Benzodiazepine,Nasal Spray,1000mg,Amgen,Hypertension management,Prescription
Miconazole,Antiemetic,Patch,20mg,3M Healthcare,Chest congestion and mucus relief,Over-the-Counter
Famotidine,Acne Treatment,Lozenge,200mg,Chattem,Gas and bloating relief,Over-the-Counter
Zinc Oxide,Laxative,Cream,325mg,Pfizer,Cough suppression,Over-the-Counter
Clindamycin,Antifungal,Patch,75mg,Gilead Sciences,Hypertension and heart failure,Prescription
Amoxicillin,Corticosteroid,Patch,25mg,Pfizer,Hypertension and angina,Prescription
Gabapentin,PPI,Capsule,2mg,GlaxoSmithKline,Hypertension and angina,Prescription
Omeprazole,Topical Antibiotic,Capsule,125mg,Pfizer,Motion sickness and nausea,Over-the-Counter
Metronidazole,Statin,Nasal Spray,1mg,Roche,Edema and hypertension,Prescription
Clotrimazole,Antiemetic,Chewable Tablet,10mg,GSK,Minor wound infection prevention,Over-the-Counter
Miconazole,Antihistamine,Lozenge,200mg,Novartis,Fungal skin infections,Over-the-Counter
Ranitidine,Antidiarrheal,Lozenge,5%,Bayer,Minor cuts and skin protection,Over-the-Counter
Meclizine,Antacid,Gel,1%,Novartis,Acne treatment,Over-the-Counter
Escitalopram,Opioid Analgesic,Sublingual Tablet,1mg,AstraZeneca,Moderate to severe pain management,Prescription
Naproxen,Decongestant,Spray,200mg,Unilever,Minor wound infection prevention,Over-the-Counter
Cetirizine,Topical Antibiotic,Chewable Tablet,1%,Johnson & Johnson,Diarrhea treatment,Over-the-Counter
Clotrimazole,Topical Anesthetic,Spray,2%,P&G,Constipation relief,Over-the-Counter
Dexamethasone,Antifungal,Sublingual Tablet,2mg,Merck,Fungal infections treatment,Prescription
Docusate Sodium,Antacid,Lozenge,500mg,Prestige Brands,Nasal congestion relief,Over-the-Counter
Bismuth Subsalicylate,Antacid/PPI,Liquid,20mg,P&G,Nasal congestion relief,Over-the-Counter
Calcium Carbonate,Antiplatelet,Chewable Tablet,5mg,Johnson & Johnson,Insomnia and sleep aid,Over-the-Counter
Pregabalin,Calcium Channel Blocker,Tablet,0.25mg,Gilead Sciences,Inflammation and autoimmune disorders,Prescription
Amlodipine,Antidepressant/SSRI,IV Infusion,2mg,Roche,Epilepsy and neuropathic pain,Prescription
Benzoyl Peroxide,Topical Anesthetic,Cream,200mg,Chattem,GERD and peptic ulcer,Over-the-Counter
Alprazolam,Beta Blocker,Patch,2mg,AstraZeneca,GERD and peptic ulcer disease,Prescription
Naproxen,Skin Protectant,Capsule,5mg,3M Healthcare,Motion sickness and nausea,Over-the-Counter
Ibuprofen,Decongestant,Tablet,200mg,Sanofi,Skin inflammation and itching,Over-the-Counter
Azithromycin,Statin,Inhaler,50mg,Johnson & Johnson,Hypothyroidism treatment,Prescription
Sertraline,Antibiotic,Suppository,25mg,Gilead Sciences,Anxiety and panic disorders,Prescription
Diphenhydramine,Antihistamine,Chewable Tablet,325mg,Pfizer,Fungal skin infections,Over-the-Counter
Sertraline,Antidepressant/SSRI,Capsule,75mg,Bristol-Myers Squibb,Hypertension and heart failure,Prescription
Metronidazole,Diuretic,Tablet,0.25mg,Eli Lilly,Inflammation and autoimmune disorders,Prescription
Clopidogrel,Antibiotic,IV Infusion,10mg,Novartis,GERD and peptic ulcer disease,Prescription
Warfarin,Antifungal,IV Infusion,0.5mg,AstraZeneca,Hypertension and heart failure,Prescription
Bacitracin,Antidiarrheal,Cream,50mg,P&G,Insomnia and sleep aid,Over-the-Counter
Clindamycin,Anxiolytic/Benzodiazepine,Patch,100mcg,Eli Lilly,Depression and anxiety disorders,Prescription
Clopidogrel,Statin,Patch,1000mg,Johnson & Johnson,Asthma and bronchospasm,Prescription
Lidocaine Cream,Topical Corticosteroid,Powder,50mg,Prestige Brands,Nasal congestion relief,Over-the-Counter
Hydrocodone,PPI,Sublingual Tablet,100mcg,Johnson & Johnson,Hypertension and heart failure,Prescription
Magnesium Hydroxide,Analgesic,Patch,250mg,Reckitt,Acne treatment,Over-the-Counter
Gabapentin,Antiplatelet,Suppository,2mg,AstraZeneca,Edema and hypertension,Prescription
Montelukast,Corticosteroid,Liquid,100mg,Bristol-Myers Squibb,Epilepsy and neuropathic pain,Prescription
Calcium Carbonate,Antidiarrheal,Drops,400mg,3M Healthcare,Minor wound infection prevention,Over-the-Counter
Gabapentin,ACE Inhibitor,Liquid,250mg,Novartis,High cholesterol management,Prescription
Levothyroxine,Calcium Channel Blocker,Injection,2mg,Abbott,Depression and anxiety disorders,Prescription
Dexamethasone,Antifungal,Liquid,100mcg,Merck,Hypothyroidism treatment,Prescription
Hydrocodone,PPI,Inhaler,150mg,AstraZeneca,Blood clot prevention,Prescription
Levothyroxine,Leukotriene Inhibitor,Tablet,400mcg,Johnson & Johnson,Type 2 diabetes management,Prescription
Aluminum Hydroxide,Skin Protectant,Liquid,150mg,Bayer,Fungal skin infections,Over-the-Counter
Clotrimazole,Antiplatelet,Ointment,400mg,GSK,Pain relief and fever reduction,Over-the-Counter
Aspirin,Antidiarrheal,Capsule,1%,Johnson & Johnson,Fungal skin infections,Over-the-Counter
Benzoyl Peroxide,Expectorant,Gel,5mg,P&G,Heartburn and acid reflux,Over-the-Counter
Oxycodone,Diuretic,Topical Solution,1mg,Bristol-Myers Squibb,GERD and peptic ulcer disease,Prescription
Meclizine,Topical Anesthetic,Liquid,1%,Bayer,Nasal congestion relief,Over-the-Counter
Benzoyl Peroxide,Decongestant,Drops,25mg,Bayer,Constipation relief,Over-the-Counter
Amoxicillin,Beta Blocker,Suppository,5mg,Johnson & Johnson,Hypertension and heart failure,Prescription
Levothyroxine,Antidepressant/SSRI,Injection,500mg,Johnson & Johnson,Type 2 diabetes management,Prescription
Trimethoprim,Opioid Analgesic,Inhaler,50mg,Merck,Asthma and bronchospasm,Prescription
Hydrocortisone Cream,Antacid/PPI,Capsule,10mg,P&G,Chest congestion and mucus relief,Over-the-Counter
Bismuth Subsalicylate,Antihistamine,Lozenge,5%,GSK,Allergic rhinitis and hives,Over-the-Counter
Calcium Carbonate,Sleep Aid,Ointment,10mg,3M Healthcare,Fungal skin infections,Over-the-Counter
Oxycodone,Antidiabetic,Sublingual Tablet,0.5mg,GlaxoSmithKline,Depression and anxiety disorders,Prescription
Warfarin,Leukotriene Inhibitor,Extended Release Tablet,2mg,Pfizer,Bacterial infections treatment,Prescription
Gabapentin,Opioid Analgesic,IV Infusion,50mg,Bristol-Myers Squibb,Hypertension management,Prescription
Doxycycline,Anticonvulsant,IV Infusion,10mg,Eli Lilly,Asthma and allergic rhinitis,Prescription
Amoxicillin,Beta Blocker,Extended Release Tablet,250mg,AstraZeneca,Asthma and bronchospasm,Prescription
Acetaminophen,Antiflatulent,Chewable Tablet,150mg,Johnson & Johnson,Diarrhea treatment,Over-the-Counter
Escitalopram,Antidiabetic,Inhaler,500mg,Eli Lilly,Bacterial infections treatment,Prescription
Calcium Carbonate,Antacid/H2 Blocker,Lozenge,2%,Pfizer,Allergic rhinitis and hives,Over-the-Counter
Metronidazole,Antibiotic,Suppository,75mg,Pfizer,Moderate to severe pain management,Prescription
Salicylic Acid,Analgesic,Patch,100mg,Sanofi,Skin inflammation and itching,Over-the-Counter
Pantoprazole,Opioid Analgesic,Tablet,5mg,Sanofi,Hypertension and heart failure,Prescription
Bacitracin,Topical Anesthetic,Liquid,20mg,Unilever,Gas and bloating relief,Over-the-Counter
Furosemide,Anxiolytic/Benzodiazepine,Tablet,100mcg,Pfizer,Edema and hypertension,Prescription
Loperamide,Topical Corticosteroid,Cream,5%,Unilever,Nasal congestion relief,Over-the-Counter
Calcium Carbonate,Antiflatulent,Tablet,25mg,Reckitt,Chest congestion and mucus relief,Over-the-Counter
Doxycycline,Leukotriene Inhibitor,Injection,2mg,Boehringer Ingelheim,Epilepsy and neuropathic pain,Prescription
Amoxicillin,Bronchodilator,Suppository,25mg,Sanofi,Asthma and bronchospasm,Prescription
Clopidogrel,Corticosteroid,Patch,1000mg,Sanofi,Depression and anxiety disorders,Prescription
Neosporin,Antifungal,Drops,5%,Novartis,Allergic rhinitis and hives,Over-the-Counter
Lisinopril,ARB,IV Infusion,200mcg,GlaxoSmithKline,Depression and anxiety disorders,Prescription
Hydrocodone,Anticonvulsant,Topical Solution,2mg,Merck,Epilepsy and neuropathic pain,Prescription
Prednisone,Opioid Analgesic,Patch,0.5mg,Boehringer Ingelheim,Heart attack and stroke prevention,Prescription
Omeprazole,Sleep Aid,Ointment,1%,3M Healthcare,Allergic rhinitis and hives,Over-the-Counter
Benzoyl Peroxide,Skin Protectant,Cream,150mg,Pfizer,Fungal skin infections,Over-the-Counter
Pantoprazole,Antifungal,Extended Release Tablet,500mg,Abbott,Fungal infections treatment,Prescription
Dextromethorphan,Cough Suppressant,Capsule,25mg,Bayer,Constipation relief,Over-the-Counter
Levothyroxine,Anticonvulsant,Extended Release Tablet,10mg,Sanofi,Bacterial infections treatment,Prescription
Metformin,Corticosteroid,Capsule,1000mg,Johnson & Johnson,Type 2 diabetes management,Prescription
Loperamide,Laxative,Chewable Tablet,20mg,Prestige Brands,Constipation relief,Over-the-Counter
Dextromethorphan,Topical Antibiotic,Drops,100mg,GSK,Pain relief and fever reduction,Over-the-Counter
Ciprofloxacin,Calcium Channel Blocker,Inhaler,2mg,Johnson & Johnson,Anxiety and panic disorders,Prescription
Metoprolol,Antiplatelet,Inhaler,200mg,Abbott,Depression and anxiety disorders,Prescription
Pantoprazole,Anticonvulsant,Capsule,250mg,Roche,Hypothyroidism treatment,Prescription
Levothyroxine,ACE Inhibitor,Injection,100mg,Sanofi,Asthma and bronchospasm,Prescription
Salicylic Acid,Topical Antibiotic,Drops,500mg,Chattem,Acne treatment,Over-the-Counter
Metformin,Thyroid Hormone,IV Infusion,5mg,Eli Lilly,Anxiety and panic disorders,Prescription
Ciprofloxacin,Corticosteroid,Capsule,100mcg,Bristol-Myers Squibb,Depression and anxiety disorders,Prescription
Clotrimazole,Topical Antibiotic,Ointment,50mg,Pfizer,Minor wound infection prevention,Over-the-Counter
Benzoyl Peroxide,Antifungal,Lozenge,2%,Reckitt,Acne treatment,Over-the-Counter
Calcium Carbonate,Antacid/PPI,Liquid,5%,3M Healthcare,Motion sickness and nausea,Over-the-Counter
Lidocaine Cream,Sleep Aid,Patch,250mg,Chattem,Diarrhea treatment,Over-the-Counter
Salicylic Acid,Cough Suppressant,Spray,10mg,Bayer,Fungal skin infections,Over-the-Counter
Miconazole,Antiemetic,Gel,20mg,Pfizer,Minor pain and itching relief,Over-the-Counter
Aspirin,Topical Corticosteroid,Cream,200mg,Pfizer,Minor cuts and skin protection,Over-the-Counter
Prednisone,Antidepressant/SSRI,Nasal Spray,75mg,Roche,Type 2 diabetes management,Prescription
Amlodipine,ARB,Suppository,0.25mg,Eli Lilly,Hypertension and heart failure,Prescription
Metronidazole,Beta Blocker,Nasal Spray,0.5mg,Boehringer Ingelheim,Hypertension and angina,Prescription
Ranitidine,Antacid/H2 Blocker,Powder,50mg,Sanofi,Minor pain and itching relief,Over-the-Counter
Sertraline,ARB,Inhaler,50mg,GlaxoSmithKline,Asthma and bronchospasm,Prescription
Pseudoephedrine,Cough Suppressant,Powder,125mg,Bayer,Blood clot prevention,Over-the-Counter
Lisinopril,Antidiabetic,Inhaler,1000mg,GlaxoSmithKline,Hypertension and heart failure,Prescription
Clindamycin,Antiplatelet,Sublingual Tablet,0.25mg,Sanofi,Type 2 diabetes management,Prescription
Metformin,Corticosteroid,Inhaler,20mg,Abbott,Asthma and bronchospasm,Prescription
Cetirizine,Antihistamine,Drops,325mg,Reckitt,Blood clot prevention,Over-the-Counter
Bacitracin,Antiplatelet,Lozenge,125mg,Novartis,Heartburn and acid reflux,Over-the-Counter
Zinc Oxide,Expectorant,Drops,10mg,Unilever,Insomnia and sleep aid,Over-the-Counter
Naproxen,Antiplatelet,Liquid,5%,Unilever,Motion sickness and nausea,Over-the-Counter
Amlodipine,ARB,Injection,5mg,Abbott,Depression and anxiety disorders,Prescription
Albuterol,Opioid Analgesic,Tablet,100mcg,Novartis,Asthma and bronchospasm,Prescription
Furosemide,Beta Blocker,Injection,250mg,Johnson & Johnson,GERD and peptic ulcer disease,Prescription
Bismuth Subsalicylate,Laxative,Powder,25mg,Sanofi,GERD and peptic ulcer,Over-the-Counter
Omeprazole,Decongestant,Tablet,5mg,3M Healthcare,Motion sickness and nausea,Over-the-Counter
Gabapentin,ACE Inhibitor,Extended Release Tablet,1mg,Eli Lilly,Fungal infections treatment,Prescription
Ibuprofen,Topical Corticosteroid,Tablet,25mg,Prestige Brands,Blood clot prevention,Over-the-Counter
Levothyroxine,Antibiotic,Suppository,100mcg,Bristol-Myers Squibb,Anxiety and panic disorders,Prescription
Levothyroxine,Antidepressant/SSRI,Injection,1000mg,Gilead Sciences,Heart attack and stroke prevention,Prescription
Trimethoprim,Statin,Nasal Spray,0.25mg,Johnson & Johnson,Hypertension and heart failure,Prescription
Fluoxetine,Corticosteroid,Liquid,100mcg,Novartis,Inflammation and autoimmune disorders,Prescription
Benzoyl Peroxide,Acne Treatment,Capsule,5mg,Chattem,Insomnia and sleep aid,Over-the-Counter
Azithromycin,Antidiabetic,Extended Release Tablet,200mg,Merck,Inflammation and autoimmune disorders,Prescription
Pantoprazole,Antidepressant/SSRI,Extended Release Tablet,400mcg,Merck,Hypertension and angina,Prescription
Metformin,Calcium Channel Blocker,Inhaler,250mg,Sanofi,Asthma and bronchospasm,Prescription
Amlodipine,Leukotriene Inhibitor,Topical Solution,1mg,Novartis,Anxiety and panic disorders,Prescription
Amlodipine,Antifungal,Liquid,50mg,Eli Lilly,Asthma and bronchospasm,Prescription
Loratadine,Antacid/PPI,Chewable Tablet,25mg,Johnson & Johnson,Motion sickness and nausea,Over-the-Counter
Escitalopram,Thyroid Hormone,Inhaler,100mcg,Eli Lilly,Epilepsy and neuropathic pain,Prescription
Benzoyl Peroxide,Topical Anesthetic,Liquid,50mg,Reckitt,Constipation relief,Over-the-Counter
Azithromycin,Leukotriene Inhibitor,Injection,75mg,GlaxoSmithKline,Blood clot prevention,Prescription
Guaifenesin,Topical Anesthetic,Liquid,50mg,Reckitt,Heartburn and indigestion,Over-the-Counter
Albuterol,ACE Inhibitor,Suppository,100mg,Merck,Hypertension management,Prescription
Acetaminophen,Antiflatulent,Capsule,25mg,Chattem,Constipation relief,Over-the-Counter
Guaifenesin,Topical Antibiotic,Liquid,25mg,Novartis,Nasal congestion relief,Over-the-Counter
Gabapentin,Beta Blocker,Suppository,0.25mg,Johnson & Johnson,Depression and anxiety disorders,Prescription
Hydrocodone,Anxiolytic/Benzodiazepine,Capsule,10mg,Abbott,Type 2 diabetes management,Prescription
Lisinopril,Bronchodilator,Injection,2mg,Novartis,Type 2 diabetes management,Prescription
Lisinopril,Leukotriene Inhibitor,Extended Release Tablet,200mcg,Boehringer Ingelheim,Bacterial infections treatment,Prescription
Doxycycline,Calcium Channel Blocker,Liquid,250mg,Abbott,Edema and hypertension,Prescription
Pregabalin,Leukotriene Inhibitor,IV Infusion,20mg,Gilead Sciences,Moderate to severe pain management,Prescription
Sertraline,Opioid Analgesic,Topical Solution,150mg,GlaxoSmithKline,Fungal infections treatment,Prescription
Salicylic Acid,Cough Suppressant,Patch,10mg,3M Healthcare,Diarrhea treatment,Over-the-Counter
Alprazolam,Thyroid Hormone,Nasal Spray,20mg,Johnson & Johnson,Hypothyroidism treatment,Prescription
Miconazole,Skin Protectant,Liquid,400mg,Pfizer,Allergic rhinitis and hives,Over-the-Counter
Bacitracin,Acne Treatment,Tablet,325mg,Johnson & Johnson,Pain relief and fever reduction,Over-the-Counter
Albuterol,Anticoagulant,Suppository,1mg,Boehringer Ingelheim,Depression and anxiety disorders,Prescription
Clopidogrel,Corticosteroid,Injection,2mg,Bristol-Myers Squibb,Hypertension and angina,Prescription
Sertraline,Antiplatelet,Capsule,5mg,Merck,Bacterial infections treatment,Prescription
Warfarin,Calcium Channel Blocker,Inhaler,1mg,AstraZeneca,Hypertension and heart failure,Prescription
Ranitidine,Antiemetic,Patch,50mg,Sanofi,Motion sickness and nausea,Over-the-Counter
Benzoyl Peroxide,Laxative,Drops,500mg,Johnson & Johnson,Chest congestion and mucus relief,Over-the-Counter
Atorvastatin,Antiplatelet,Patch,50mg,GlaxoSmithKline,Edema and hypertension,Prescription
Alprazolam,Bronchodilator,Sublingual Tablet,5mg,AstraZeneca,Fungal infections treatment,Prescription
Gabapentin,ARB,Suppository,75mg,Gilead Sciences,High cholesterol management,Prescription
Metformin,Thyroid Hormone,Suppository,50mcg,Abbott,Heart attack and stroke prevention,Prescription
Ibuprofen,Antacid,Lozenge,325mg,3M Healthcare,Heartburn and acid reflux,Over-the-Counter
Levothyroxine,Statin,Nasal Spray,25mg,AstraZeneca,Asthma and bronchospasm,Prescription
Meclizine,Antidiarrheal,Cream,150mg,Bayer,Minor wound infection prevention,Over-the-Counter
Miconazole,Antiflatulent,Gel,1%,Sanofi,Acne treatment,Over-the-Counter
Aspirin,Acne Treatment,Spray,5%,Pfizer,Diarrhea treatment,Over-the-Counter
Salicylic Acid,Antiflatulent,Tablet,150mg,Bayer,Skin inflammation and itching,Over-the-Counter
Metformin,Diuretic,Nasal Spray,1000mg,Pfizer,Blood clot prevention,Prescription
Alprazolam,Anxiolytic/Benzodiazepine,Suppository,150mg,AstraZeneca,Depression and anxiety disorders,Prescription
Naproxen,Antiemetic,Tablet,150mg,GSK,Diarrhea treatment,Over-the-Counter
Prednisone,Antidiabetic,Extended Release Tablet,0.5mg,Sanofi,Asthma and bronchospasm,Prescription
Losartan,Calcium Channel Blocker,IV Infusion,5mg,Abbott,Asthma and allergic rhinitis,Prescription
Metformin,Anticoagulant,Tablet,10mg,Merck,Hypertension management,Prescription
Omeprazole,Antacid,Capsule,20mg,Chattem,Minor pain and itching relief,Over-the-Counter
Prednisone,ACE Inhibitor,Patch,0.25mg,Johnson & Johnson,Depression and anxiety disorders,Prescription
Pseudoephedrine,Antacid,Capsule,2%,Pfizer,Constipation relief,Over-the-Counter
Ciprofloxacin,Antibiotic,Topical Solution,1mg,Amgen,Inflammation and autoimmune disorders,Prescription
Albuterol,PPI,Nasal Spray,2mg,Amgen,Heart attack and stroke prevention,Prescription
Warfarin,PPI,Patch,1000mg,Amgen,Fungal infections treatment,Prescription
Benzoyl Peroxide,Antiflatulent,Lozenge,5%,Johnson & Johnson,Chest congestion and mucus relief,Over-the-Counter
Omeprazole,Antacid/H2 Blocker,Capsule,5mg,Unilever,Skin inflammation and itching,Over-the-Counter
Omeprazole,Antifungal,Liquid,50mg,Johnson & Johnson,Diarrhea treatment,Over-the-Counter
Clopidogrel,Antifungal,Suppository,500mg,Abbott,Hypertension and heart failure,Prescription
Cetirizine,Antacid/H2 Blocker,Liquid,500mg,GSK,Motion sickness and nausea,Over-the-Counter
Guaifenesin,Topical Antibiotic,Powder,150mg,Reckitt,GERD and peptic ulcer,Over-the-Counter
Oxycodone,Opioid Analgesic,Injection,400mcg,Merck,Asthma and bronchospasm,Prescription
Meclizine,Topical Antibiotic,Drops,5mg,Bayer,Acne treatment,Over-the-Counter
Clotrimazole,Antifungal,Lozenge,100mg,GSK,Cough suppression,Over-the-Counter
Atorvastatin,Corticosteroid,Extended Release Tablet,25mg,GlaxoSmithKline,Type 2 diabetes management,Prescription
Famotidine,Antihistamine,Tablet,10mg,Prestige Brands,Minor cuts and skin protection,Over-the-Counter
Diphenhydramine,Decongestant,Gel,500mg,Unilever,Diarrhea treatment,Over-the-Counter
Simethicone,Topical Corticosteroid,Gel,20mg,Chattem,Blood clot prevention,Over-the-Counter
Miconazole,Sleep Aid,Spray,150mg,GSK,Blood clot prevention,Over-the-Counter
Prednisone,Anticoagulant,Injection,50mg,Abbott,GERD and peptic ulcer disease,Prescription
Naproxen,Expectorant,Lozenge,5mg,Reckitt,GERD and peptic ulcer,Over-the-Counter
Lidocaine Cream,Antifungal,Drops,25mg,Bayer,Insomnia and sleep aid,Over-the-Counter
Diphenhydramine,Acne Treatment,Lozenge,2%,Johnson & Johnson,Acne treatment,Over-the-Counter
Losartan,Leukotriene Inhibitor,Topical Solution,5mg,Novartis,Bacterial infections treatment,Prescription
Doxycycline,Statin,Extended Release Tablet,400mcg,Merck,Anxiety and panic disorders,Prescription
Amoxicillin,ACE Inhibitor,Tablet,1mg,Gilead Sciences,Asthma and bronchospasm,Prescription
Lisinopril,Antifungal,Patch,0.5mg,Bristol-Myers Squibb,Type 2 diabetes management,Prescription
Pantoprazole,Antidepressant/SSRI,Inhaler,20mg,Pfizer,Moderate to severe pain management,Prescription
Montelukast,Diuretic,Tablet,500mg,Eli Lilly,Anxiety and panic disorders,Prescription
Bacitracin,Antifungal,Lozenge,1%,Unilever,GERD and peptic ulcer,Over-the-Counter
Prednisone,Diuretic,Tablet,75mg,Johnson & Johnson,Epilepsy and neuropathic pain,Prescription
Atorvastatin,Calcium Channel Blocker,IV Infusion,1mg,Sanofi,Hypertension and heart failure,Prescription
Pseudoephedrine,Sleep Aid,Patch,100mg,Pfizer,Motion sickness and nausea,Over-the-Counter
Clindamycin,Antifungal,Capsule,100mcg,Boehringer Ingelheim,Edema and hypertension,Prescription
Amoxicillin,Calcium Channel Blocker,IV Infusion,75mg,Boehringer Ingelheim,Epilepsy and neuropathic pain,Prescription
Atorvastatin,Opioid Analgesic,Inhaler,10mg,Bristol-Myers Squibb,Blood clot prevention,Prescription
Omeprazole,Antifungal,Spray,125mg,Pfizer,Skin inflammation and itching,Over-the-Counter
Omeprazole,Antacid/H2 Blocker,Ointment,25mg,GSK,Diarrhea treatment,Over-the-Counter
Aluminum Hydroxide,Antiflatulent,Patch,5%,Bayer,Minor wound infection prevention,Over-the-Counter
Metformin,Antifungal,Tablet,150mg,Abbott,Hypertension and angina,Prescription
Fluoxetine,Antidiabetic,Inhaler,0.5mg,Johnson & Johnson,Hypertension and heart failure,Prescription
Trimethoprim,Anticoagulant,Nasal Spray,1mg,Amgen,Moderate to severe pain management,Prescription
Trimethoprim,Antibiotic,Capsule,250mg,Abbott,Edema and hypertension,Prescription
Amlodipine,Calcium Channel Blocker,Injection,200mg,Roche,Moderate to severe pain management,Prescription
Pantoprazole,Antiplatelet,Nasal Spray,200mcg,AstraZeneca,Blood clot prevention,Prescription
Clotrimazole,Laxative,Liquid,2%,Prestige Brands,Minor wound infection prevention,Over-the-Counter
Gabapentin,Antidiabetic,IV Infusion,2mg,Sanofi,Blood clot prevention,Prescription
Amlodipine,Anticonvulsant,Extended Release Tablet,400mcg,Bristol-Myers Squibb,Hypothyroidism treatment,Prescription
Azithromycin,Antibiotic,Liquid,0.5mg,GlaxoSmithKline,Asthma and allergic rhinitis,Prescription
Dexamethasone,ARB,Capsule,1000mg,Eli Lilly,High cholesterol management,Prescription
Atorvastatin,Antidiabetic,IV Infusion,5mg,Bristol-Myers Squibb,Heart attack and stroke prevention,Prescription
Miconazole,Analgesic,Patch,500mg,Unilever,Heartburn and indigestion,Over-the-Counter
Neosporin,Acne Treatment,Ointment,150mg,Unilever,Allergic rhinitis and hives,Over-the-Counter
Acetaminophen,Antacid/PPI,Liquid,2%,Unilever,GERD and peptic ulcer,Over-the-Counter
Montelukast,Anticonvulsant,Injection,1mg,GlaxoSmithKline,Hypertension and heart failure,Prescription
Hydrocodone,PPI,Suppository,1000mg,Boehringer Ingelheim,Hypertension and heart failure,Prescription
